Crater_ID,Latitude,Longitude,Elevation,Temperature,Ice_Probability,Estimated_Area_sqm,Estimated_Depth_m,Calculated_Volume_m3,Status
CRATER-ICE-001,-89.20981483181596,238.08172098103657,-1345.4880526321294,43.75572910495311,0.989,7931.8,24.8,194544.8,Confirmed Cryogenic Deposit
CRATER-ICE-002,-89.73206860072942,207.1803666488612,-859.074752283052,69.93495418654541,0.989,7931.8,24.8,194544.8,Confirmed Cryogenic Deposit
CRATER-ICE-003,-89.8677994367098,127.90427155895476,-2148.7372793494847,91.41082996373405,0.989,7931.8,24.8,194544.8,Confirmed Cryogenic Deposit
CRATER-ICE-004,-89.23724098545799,340.44247333828963,-835.4824719291241,52.26500995711629,0.988,7925.6,24.8,194196.2,Confirmed Cryogenic Deposit
CRATER-ICE-005,-89.46095788648267,73.53232845710271,-1787.7368749414877,81.43619832085852,0.988,7925.6,24.8,194196.2,Confirmed Cryogenic Deposit
CRATER-ICE-006,-88.89042620002053,3.784760834995256,-210.5340270981868,60.71938846644352,0.988,7925.6,24.8,194196.2,Confirmed Cryogenic Deposit
CRATER-ICE-007,-88.3160650723186,232.11242157243345,-1974.5028782818613,93.6516471342709,0.987,7919.4,24.8,193847.9,Confirmed Cryogenic Deposit
CRATER-ICE-008,-89.69973738294672,17.106392594559736,-773.339975508522,40.50707768159965,0.987,7919.4,24.8,193847.9,Confirmed Cryogenic Deposit
CRATER-ICE-009,-89.83055563108863,51.79541594032086,-1597.8537170861357,53.335808381668166,0.987,7919.4,24.8,193847.9,Confirmed Cryogenic Deposit
CRATER-ICE-010,-89.71500290179668,273.92093026604647,-1459.184680560462,79.04448887503303,0.986,7913.2,24.7,192719.7,Confirmed Cryogenic Deposit
CRATER-ICE-011,-89.39046870128468,122.60733747160272,864.2335189526202,76.38947738428146,0.986,7913.2,24.7,192719.7,Confirmed Cryogenic Deposit
CRATER-ICE-012,-88.01836862279207,56.70019730728938,-2094.5855514848254,57.07381455880678,0.986,7913.2,24.7,192719.7,Confirmed Cryogenic Deposit
CRATER-ICE-013,-88.25264015736735,2.648818665149233,-1845.215865965249,45.2913157914427,0.985,7907.0,24.7,192373.4,Confirmed Cryogenic Deposit
CRATER-ICE-014,-88.13119747853675,68.8471664674037,-813.973032143052,57.58616206746103,0.984,7900.8,24.7,192027.4,Confirmed Cryogenic Deposit
CRATER-ICE-015,-89.59622844960377,284.9904259859027,-403.7576795766216,78.25421866815077,0.983,7894.6,24.7,191681.7,Confirmed Cryogenic Deposit
CRATER-ICE-016,-88.59765662187839,288.4867409772895,153.85041528390047,68.01008604693384,0.983,7894.6,24.7,191681.7,Confirmed Cryogenic Deposit
CRATER-ICE-017,-89.89719973803601,148.64802825211677,-1018.9566338038924,67.69918420988024,0.983,7894.6,24.7,191681.7,Confirmed Cryogenic Deposit
CRATER-ICE-018,-88.42705437609179,20.06478954050476,-2145.25326328193,68.9898721700302,0.982,7888.4,24.7,191336.3,Confirmed Cryogenic Deposit
CRATER-ICE-019,-89.11727961943521,212.71389227073303,-926.0392966584787,88.98574402725284,0.982,7888.4,24.7,191336.3,Confirmed Cryogenic Deposit
CRATER-ICE-020,-88.6087213678033,258.8482153560964,-1680.6637112767316,46.099033778429416,0.982,7888.4,24.7,191336.3,Confirmed Cryogenic Deposit
CRATER-ICE-021,-88.63298995651925,32.47045207208797,359.1704891580953,50.22639169652469,0.982,7888.4,24.7,191336.3,Confirmed Cryogenic Deposit
CRATER-ICE-022,-88.40365673686831,299.5784833424826,-1345.3868300927247,83.46761350138651,0.982,7888.4,24.7,191336.3,Confirmed Cryogenic Deposit
CRATER-ICE-023,-88.40057464664606,225.23396865892312,-1548.0617932610528,89.51190763093336,0.982,7888.4,24.7,191336.3,Confirmed Cryogenic Deposit
CRATER-ICE-024,-88.02912749490343,191.64968455007337,-1081.161677125889,79.41695275556157,0.981,7882.2,24.6,190218.0,Confirmed Cryogenic Deposit
CRATER-ICE-025,-88.5653165559662,202.55595224498725,-1510.7839254171847,80.27124995406423,0.981,7882.2,24.6,190218.0,Confirmed Cryogenic Deposit
CRATER-ICE-026,-88.15289105315351,164.0378957591131,-3786.052346009946,46.9451738276319,0.98,7876.0,24.6,189874.6,Confirmed Cryogenic Deposit
CRATER-ICE-027,-88.6986189218722,14.520186769842711,-1079.518005724293,75.05224963169229,0.98,7876.0,24.6,189874.6,Confirmed Cryogenic Deposit
CRATER-ICE-028,-88.12257942429775,79.22385172248904,-1333.1884674252367,86.00620093390253,0.979,7869.8,24.6,189531.5,Confirmed Cryogenic Deposit
CRATER-ICE-029,-88.12457722636846,294.8786374239676,-180.74913318708047,61.10816237267639,0.979,7869.8,24.6,189531.5,Confirmed Cryogenic Deposit
CRATER-ICE-030,-89.4401144698612,92.0398403994532,-193.9095099386792,78.11982673232652,0.978,7863.6,24.6,189188.8,Confirmed Cryogenic Deposit
CRATER-ICE-031,-89.82101156780426,20.965619095299083,-1122.5960652489598,65.97769077355699,0.978,7863.6,24.6,189188.8,Confirmed Cryogenic Deposit
CRATER-ICE-032,-89.52918361728457,243.94002555585388,-263.1047482099435,60.01083193120789,0.977,7857.4,24.6,188846.3,Confirmed Cryogenic Deposit
CRATER-ICE-033,-88.99400613230706,90.86897267156166,-533.6436457399668,54.17297886586761,0.977,7857.4,24.6,188846.3,Confirmed Cryogenic Deposit
CRATER-ICE-034,-88.93872985679285,109.49589161476744,-2099.3327878095474,66.88965612597003,0.977,7857.4,24.6,188846.3,Confirmed Cryogenic Deposit
CRATER-ICE-035,-89.87267525246304,53.95060759915859,-1837.9883978750308,68.2256455082229,0.977,7857.4,24.6,188846.3,Confirmed Cryogenic Deposit
CRATER-ICE-036,-88.06245943100758,192.2530007536764,-111.19463618418104,89.09210770142911,0.977,7857.4,24.6,188846.3,Confirmed Cryogenic Deposit
CRATER-ICE-037,-89.78138047817222,88.65746427714237,-1105.9859046735228,91.7759687487366,0.977,7857.4,24.6,188846.3,Confirmed Cryogenic Deposit
CRATER-ICE-038,-88.4545084076279,300.2990789550389,111.16842207986656,80.09309849038345,0.976,7851.2,24.6,188504.2,Confirmed Cryogenic Deposit
CRATER-ICE-039,-88.85852411481676,116.752918995209,-1462.2360447019705,74.91094852977844,0.976,7851.2,24.6,188504.2,Confirmed Cryogenic Deposit
CRATER-ICE-040,-88.19031664319418,28.27304740540753,-1631.027870277911,87.50969064799204,0.975,7845.0,24.5,187397.4,Confirmed Cryogenic Deposit
CRATER-ICE-041,-89.52680348984318,241.46899216983843,-233.99744403846356,57.92157292149058,0.975,7845.0,24.5,187397.4,Confirmed Cryogenic Deposit
CRATER-ICE-042,-88.09225483124013,305.04781940737206,-1851.0509135431437,64.65925588724737,0.975,7845.0,24.5,187397.4,Confirmed Cryogenic Deposit
CRATER-ICE-043,-89.65017067219384,356.1658250551341,-1972.0364644609435,89.69294579463822,0.975,7845.0,24.5,187397.4,Confirmed Cryogenic Deposit
CRATER-ICE-044,-89.60671084097902,354.2722070279451,-2054.816603265951,41.69294574644377,0.975,7845.0,24.5,187397.4,Confirmed Cryogenic Deposit
